gene_id	paired_ABC284_1	paired_oxIs12_2	paired_ABC16_2	paired_oxIs12_1	paired_ABC291_1	paired_ABC291_2	paired_ABC16_1	paired_ABC284_2
WBGene00020478	25.0	138.0	67.0	180.0	16.03	26.04	75.0	18.0
WBGene00020479	119.0	84.0	138.0	165.0	46.0	43.0	180.0	81.0
WBGene00020480	182.0	216.0	176.0	169.0	263.0	199.0	159.0	285.0
WBGene00020481	3647.0	3247.0	3046.0	2807.0	5556.0	4500.0	3172.0	4928.0
WBGene00020482	17.0	22.0	1.0	35.0	36.0	18.0	8.0	28.0
WBGene00020483	3.0	7.0	16.0	11.0	2.0	0.0	15.0	3.0
WBGene00020484	10.0	5.0	9.0	0.0	10.0	8.0	15.0	12.0
WBGene00020485	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0
WBGene00020486	112.0	188.0	171.0	332.0	186.0	187.0	202.0	141.0
WBGene00020487	13.0	5.0	5.0	0.0	7.0	10.0	13.0	16.0
WBGene00020488	0.0	3.0	7.0	0.0	3.0	0.0	2.0	0.0
WBGene00020489	56.0	92.0	52.0	69.0	24.0	57.0	93.0	49.0
WBGene00020490	135.0	252.0	150.0	270.0	150.0	111.0	211.0	163.0
WBGene00020491	93.0	77.0	103.0	128.0	91.0	92.0	115.0	87.0
WBGene00020492	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
WBGene00020494	0.0	0.0	3.0	0.0	4.0	0.0	2.0	2.0
WBGene00020496	688.0	871.0	661.0	610.0	968.0	1041.0	663.0	1460.0
WBGene00020497	190.0	355.0	302.0	343.0	168.0	121.0	286.0	193.0
WBGene00020498	945.0	1138.0	1106.0	932.0	1091.0	1058.0	1146.0	1022.0
WBGene00020499	409.0	537.0	540.0	558.0	402.0	459.0	655.0	535.0
WBGene00020500	501.0	472.0	518.0	456.0	694.0	630.0	525.0	675.0
WBGene00020501	42.0	22.0	34.0	13.0	38.0	45.0	27.0	80.0
WBGene00020502	33.0	23.0	34.0	32.0	20.0	21.0	45.0	50.0
WBGene00020503	4.0	1.0	9.0	3.0	6.0	13.0	5.0	8.0
WBGene00020504	921.0	1929.0	988.0	2165.0	1182.0	1019.0	1169.0	808.0
WBGene00020505	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
WBGene00020506	32.0	50.0	24.0	36.0	33.0	34.0	27.0	50.0
WBGene00020507	3208.0	5141.0	4268.0	5898.0	3757.0	4110.0	4558.0	4080.0
WBGene00020508	90.0	107.0	77.0	137.0	102.0	89.0	83.0	122.0
WBGene00020509	480.0	606.0	553.0	581.0	583.0	468.0	633.0	670.0
WBGene00020510	174.0	148.0	187.0	224.0	153.0	134.0	202.0	209.0
WBGene00020511	1394.0	2274.0	1611.0	2413.0	1757.0	1555.0	1928.0	1888.0
WBGene00020515	3.0	4.0	0.0	4.0	0.0	0.0	7.0	0.0
WBGene00020516	473.0	953.0	850.0	968.0	965.0	663.0	866.0	583.0
WBGene00020517	2119.0	2264.0	2041.0	2449.0	2760.0	2904.0	1917.0	2254.0
WBGene00020520	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
WBGene00020522	23.0	31.0	24.0	57.0	7.0	8.0	35.0	13.0
WBGene00020523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020524	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0
WBGene00020525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020526	38.0	49.0	44.0	42.0	45.0	60.0	65.0	29.0
WBGene00020527	14.0	10.0	0.0	3.0	10.0	10.0	7.0	16.0
WBGene00020528	40.0	35.0	27.0	33.0	27.0	26.0	45.0	21.0
WBGene00020530	483.0	409.0	373.0	492.0	476.0	507.0	379.0	364.0
WBGene00020531	170.0	268.0	238.0	199.0	166.0	204.0	278.0	97.0
WBGene00020532	22.0	5.0	21.0	22.0	11.0	37.0	36.0	12.0
WBGene00020533	99.0	197.0	139.0	148.0	84.0	105.0	161.0	46.0
WBGene00020534	29.0	40.0	38.0	36.0	21.0	24.0	31.0	24.0
WBGene00020535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
WBGene00020536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020537	1.0	1.0	2.0	0.0	2.0	1.0	0.0	19.0
WBGene00020539	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
WBGene00020540	34.0	30.0	41.0	39.0	54.0	45.0	32.0	61.0
WBGene00020541	1.0	2.0	0.0	0.0	1.0	0.0	0.0	6.0
WBGene00020542	0.0	0.0	0.0	0.0	1.0	0.0	0.0	14.0
WBGene00020543	0.0	0.0	0.0	0.0	3.0	0.0	0.0	15.0
WBGene00020544	2.0	0.0	0.0	0.0	3.0	0.0	0.0	11.0
WBGene00020545	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
WBGene00020546	0.0	0.0	3.0	0.0	0.0	0.0	3.0	4.0
WBGene00020547	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020549	2297.0	3023.0	2973.0	2666.0	2859.0	2496.0	2892.0	2896.0
WBGene00020550	40.0	96.0	93.0	13.0	45.0	11.0	228.0	310.0
WBGene00020551	852.0	1857.0	1135.0	4133.0	185.0	466.0	1632.0	315.0
WBGene00020553	1650.0	1782.0	1799.0	1525.0	1929.0	1849.0	1863.0	2422.0
WBGene00020554	683.0	1815.0	1041.0	3610.0	182.0	485.0	1581.0	501.0
WBGene00020555	2.0	5.0	0.0	5.0	1.0	1.0	1.0	0.0
WBGene00020556	237.0	281.0	238.0	321.0	406.0	331.0	282.0	258.0
WBGene00020557	860.0	1338.0	1022.0	1277.0	1003.0	1065.0	1193.0	1254.0
WBGene00020558	1075.0	883.0	1116.0	773.0	1533.0	1397.0	1075.0	1439.0
WBGene00020559	171.0	217.0	106.0	72.0	165.0	130.0	141.0	152.0
WBGene00020560	635.0	1212.0	1295.0	2724.0	215.0	520.0	1464.0	316.0
WBGene00020561	67.0	71.0	38.0	73.0	43.0	57.0	81.0	112.0
WBGene00020562	534.0	672.0	510.0	805.0	483.0	486.0	540.0	465.0
WBGene00020563	88.0	180.0	131.0	155.0	164.0	129.0	183.0	156.0
WBGene00020564	8.0	1.0	7.0	4.0	11.0	2.0	19.0	8.0
WBGene00020565	6.0	1.0	0.0	10.0	0.0	0.0	0.0	4.0
WBGene00020566	122.0	140.0	88.0	102.0	150.0	143.0	116.0	117.0
WBGene00020567	932.0	1585.0	465.0	1154.0	576.0	636.0	615.0	455.0
WBGene00020568	6.0	15.0	8.0	16.0	13.0	11.0	19.0	22.0
WBGene00020569	127.0	109.0	114.0	130.0	182.0	155.0	168.0	70.0
WBGene00020571	55.0	167.0	208.0	544.0	19.0	36.0	260.0	61.0
WBGene00020572	75.0	175.0	84.0	106.0	125.0	109.0	110.0	71.0
